Year,Number of athletics athletes,Tot number of athletes,Proportion athletics athletes in OS
1896,63.0,176,35.79545454545455
1900,119.0,1224,9.722222222222221
1904,116.0,650,17.846153846153847
1906,233.0,841,27.705112960761
1908,431.0,2024,21.294466403162055
1912,534.0,2409,22.166874221668742
1920,509.0,2676,19.020926756352765
1924,659.0,3565,18.485273492286115
1928,706.0,3703,19.06562246826897
1932,386.0,2174,17.755289788408465
1936,776.0,5142,15.091404122909374
1948,745.0,5068,14.700078926598264
1952,963.0,5622,17.12913553895411
1956,720.0,4167,17.278617710583152
1960,1016.0,6017,16.885491108525844
1964,1018.0,6230,16.34028892455859
1968,1029.0,6717,15.319338990620812
1972,1330.0,8122,16.37527702536321
1976,1006.0,7200,13.972222222222221
1980,960.0,6330,15.165876777251185
1984,1280.0,8067,15.8671129292178
1988,1618.0,9873,16.38812924136534
1992,1726.0,11183,15.434141107037467
1996,2057.0,10339,19.895541154850566
2000,2137.0,10647,20.071381609843147
2004,1995.0,10557,18.897414038079
2008,2056.0,10899,18.864115973942564
2012,2079.0,10517,19.76799467528763
2016,2269.0,11179,20.296985419089363
1994,,1738,
1998,,2179,
2002,,2399,
2006,,2494,
2010,,2536,
2014,,2745,
