Year,Medal,Age
1896,37,22.434782608695652
1900,76,22.864485981308412
1904,79,23.747191011235955
1906,65,24.277955271565496
1908,101,23.778561354019747
1912,143,23.483667017913593
1920,133,24.741496598639454
1924,129,24.57816091954023
1928,108,23.857627118644068
1932,114,23.843423799582464
1936,114,24.638832997987926
1948,126,25.256756756756758
1952,126,25.11981914091937
1956,128,24.16949152542373
1960,129,24.567862714508582
1964,135,24.652767247915087
1968,135,24.625188536953242
1972,150,24.474474474474473
1976,147,24.276529821843532
1980,153,24.458333333333332
1984,169,24.5580684596577
1988,175,25.05787150564002
1992,178,25.387254901960784
1996,180,25.91568791946309
2000,190,26.01580226904376
2004,180,26.27080459770115
2008,187,26.09625668449198
2012,190,26.21729587357331
2016,192,26.356858054226475
